date,year,month,mn_nsys,mn_nsys_lwr,mn_nsys_upr,daosys_nsys,daosys_nsys_lwr,daosys_nsys_upr,tot_nsys,tot_nsys_lwr,tot_nsys_upr,price,price_lwr,price_upr,mn_reward,mn_reward_lwr,mn_reward_upr,daosys_reward,daosys_reward_lwr,daosys_reward_upr,tot_reward,tot_reward_lwr,tot_reward_upr,tot_nodes,investment_nodes
2023-01-01,2023,1,5551.093504125715,5345.6850186505835,5756.501989600847,1.1697821978605134,1.1264964579577281,1.2130679377642082,5552.263286323576,5346.811515108541,5757.715057538611,0.25,0.25,0.25,1387.7733760314288,1387.7733760314288,1387.7733760314288,0.29244554946512835,0.28162411448943203,0.30326698444105205,1388.065821580894,1388.0550001459183,1388.0766430158699,2961.2019123408604,400
2023-01-02,2023,1,5550.665442180667,5345.272796387529,5756.0580879738045,2.3394741902084206,2.2529060482975183,2.426042332117504,5553.004916370875,5347.525702435826,5758.484130305922,0.2522572976389662,0.2505113910829955,0.2585093548087626,1400.1958645424925,1390.5049213569894,1434.898942217419,0.590149437118085,0.5643786281383056,0.6271546380144417,1400.7860139796105,1391.0692999851276,1435.5260968554335,2961.430277365466,400
2023-01-03,2023,1,5550.237446248882,5344.860637695032,5755.614254802732,3.509075990950805,3.379228784417137,3.6389231974862923,5553.746522239833,5348.239866479449,5759.253178000218,0.25203851308268116,0.25026376593647215,0.25725005415655394,1398.8735932083857,1389.0233251398731,1427.7988836292586,0.8844222950533769,0.8456985215491597,0.9361131896248891,1399.758015503439,1389.8690236614223,1428.7349968188835,2961.6586423900712,400
2023-01-04,2023,1,5549.809516315088,5344.448542558387,5755.17049007179,4.678587613998388,4.5054646797107125,4.851710548289702,5554.488103929087,5348.954007238098,5760.022200620079,0.2531927808261091,0.2505071414421387,0.25987213615989085,1405.1717044910206,1390.2669174804712,1442.2408542852927,1.1845846083268425,1.1286510777828516,1.2608243842135203,1406.3562890993474,1391.3955685582541,1443.5016786695062,2961.8870074146776,400
2023-01-05,2023,1,5549.381652364029,5344.036510962901,5754.726793765158,5.848009073259163,5.631613747562369,6.06440439895232,5555.229661437288,5349.668124710463,5760.79119816411,0.2542941023275124,0.250770119761315,0.26181416768268234,1411.175025760678,1391.6191015645718,1452.9067384672367,1.4871142176875864,1.4122404539256834,1.5877469902028991,1412.6621399783655,1393.0313420184975,1454.4944854574396,2962.115372439283,400
2023-01-06,2023,1,5548.953854380439,5343.624542893873,5754.283165867005,7.017340382626571,6.757676001365326,7.277004763884179,5555.971194763066,5350.382218895238,5761.560170630889,0.25534095003515045,0.25016414516491814,0.2714413588610507,1416.8751488787113,1388.1492975406602,1506.2155744902911,1.7918143600198948,1.6905282401830388,1.975280061547061,1418.6669632387313,1389.8398257808433,1508.1908545518381,2962.3437374638884,400
2023-01-07,2023,1,5548.5261223490625,5343.212638336613,5753.839606361512,8.186581556001329,7.883651454503706,8.489511657498952,5556.712703905064,5351.096289791117,5762.329118019011,0.25575096984128526,0.2504341936250581,0.27180400369922847,1419.0409369804786,1389.5406652580577,1508.1116146842303,2.093726172632118,1.9743358948296519,2.3074832579594884,1421.1346631531108,1391.5150011528874,1510.4190979421899,2962.5721024884947,400
2023-01-08,2023,1,5548.098456254653,5342.800797276438,5753.3961152328675,9.355732607284153,9.00954012035072,9.70192509421031,5557.454188861937,5351.810337396789,5763.098040327078,0.2556462580679141,0.250893449168597,0.2772178037121633,1418.3506097338727,1391.9815580166983,1538.0316688217586,2.3917580325361634,2.260434596217649,2.6895463663969053,1420.742367766409,1394.241992612916,1540.7212151881554,2962.8004675131,400
2023-01-09,2023,1,5547.6708560819625,5342.389019698665,5752.952692465261,10.524793550357572,10.13534201229777,10.91424508842465,5558.19564963232,5352.524361710963,5763.866937553686,0.25754201349766714,0.25143198987384713,0.27975272172767496,1428.7583224976754,1394.8619225098369,1551.9760212382296,2.71057652260635,2.54834921020403,3.0532897690897043,1431.4688990202817,1397.4102717200408,1555.0293110073194,2963.0288325377064,400
2023-01-10,2023,1,5547.243321815754,5341.977305588619,5752.509338042889,11.693764399118663,11.26105714370351,12.126471654533816,5558.937086214873,5353.2383627323225,5764.635809697423,0.2579156936009613,0.2512527456405427,0.28508171130686905,1430.7211089194107,1393.7601153423727,1581.417619218836,3.0160053558049182,2.8293715261705543,3.45703529138874,1433.7371142752156,1396.5894868685432,1584.874654510225,2963.2571975623114,400
2023-01-11,2023,1,5546.815853440787,5341.5656549316245,5752.066051949949,12.862645167449955,12.38668552794843,13.338604806944204,5559.678498608237,5353.952340459573,5765.404656756893,0.258748547836252,0.25224657450706806,0.2767724078964719,1435.2305471929044,1399.1652984519376,1535.2055799151303,3.3281907584106603,3.1244989939212653,3.691757770397402,1438.5587379513152,1402.2897974458588,1538.8973376855276,2963.4855625869172,400
2023-01-12,2023,1,5546.3884509418285,5341.154067713013,5751.622834170644,14.031435869226698,13.512227178398462,14.55064456006221,5560.419886811055,5354.666294891412,5766.173478730706,0.25797938565403433,0.2510208522489736,0.2845757749572707,1430.8538851726041,1392.2591558592821,1578.3677916408271,3.6198212053870846,3.3918507821033255,4.140760951807499,1434.4737063779912,1395.6510066413855,1582.5085525926347,2963.713927611523,400
